candidate_id,candidate_name,state_abbreviation,congressional_district,party,cash_on_hand,disbursements,receipts,ind_support,ind_oppose,party_expenditures
H0AL01055,"CARL, JERRY LEE, JR",AL,1,Republican,71695,1670657,1742352,144203,1159877,0
H0AL01063,"LAMBERT, DOUGLAS WESTLEY III",AL,1,Republican,0,182565,182565,0,0,0
H0AL01071,"PRINGLE, CHRISTOPHER PAUL",AL,1,Republican,0,491716,491716,0,0,0
H0AL01089,"HIGHTOWER, BILL",AL,1,Republican,52406,1201799,1254205,237783,0,0
H0AL01097,"AVERHART, JAMES",AL,1,Democrat,9427,40699,50127,0,0,0
H0AL01105,"GARDNER, KIANI A",AL,1,Democrat,0,118662,118662,0,0,0
H0AL01121,"CASTORANI, JOHN",AL,1,Republican,57,26753,26810,0,0,0
H0AL01139,"COLLINS, FREDERICK G. RICK'",AL,1,Democrat,2109,60826,62935,0,0,0
H0AL02087,"ROBY, MARTHA",AL,2,Republican,132073,425908,216298,0,0,0
H0AL02137,"DISMUKES, WILL",AL,2,Republican,752,14291,15043,0,0,0
H0AL02145,"COLEMAN, JEFF",AL,2,Republican,77819,2313062,2390881,0,705772,0
H0AL02152,"KING, TROY",AL,2,Republican,3028,280085,283113,0,28346,0
H0AL02160,"BROWN, THOMAS WILLIAM JR.",AL,2,Republican,533,22417,22950,0,0,0
H0AL02178,"TAYLOR, JESSICA",AL,2,Republican,0,476139,476139,25168,0,0
H0AL02194,"HASDORFF, TERRI",AL,2,Republican,0,82156,82156,164751,0,0
H0AL02202,"HARVEY-HALL, PHYLLIS",AL,2,Democrat,1045,18754,19860,0,0,0
H0AL05163,"BROOKS, MO",AL,5,Republican,857674,201517,367010,4218,0,0
H0AL05205,"LEWIS, CHRIS",AL,5,Republican,940,166557,167497,41496,0,0
H0AL07086,"SEWELL, TERRI A.",AL,7,Democrat,1920422,1256691,1605841,0,0,0
H0AR01083,"CRAWFORD, ERIC ALAN RICK",AR,1,Republican,423258,658067,769901,0,0,0
H0AR02206,"ELLIOTT, JOYCE ANN SENATOR",AR,2,Democrat,719270,331232,1050502,10,0,0
H0AR03055,"WOMACK, STEVE",AR,3,Republican,1346541,513780,701103,0,0,0
H0AR03105,"WILLIAMS, CELESTE SARENE",AR,3,Democrat,57605,163595,221200,0,0,0
H0AR04087,"HANSON, WILLIAM MR.",AR,4,Democrat,7105,66069,73174,0,0,0
H0AZ01259,"GOSAR, PAUL DR.",AZ,4,Republican,136355,380809,395965,426,0,0
H0AZ01358,"PUTZOVA, EVA",AZ,1,Democrat,83761,284789,368550,1016,0,0
H0AZ01366,"TAYLOR, CHRIS",AZ,1,Republican,173,28700,28873,0,0,0
H0AZ01390,"MOORE, JOHN WILLIAM",AZ,1,Republican,5078,5792,8121,0,0,0
H0AZ01408,"REIDHEAD, NOLAN QUINN MR",AZ,1,Republican,11298,105141,116439,0,0,0
