StateFIPS,PUMA,CongressionalDistrict,StateAbbreviaiton,PUMA2k,Population2016,PUMAWgt,CDWgt
1,100,4,AL,100100,54216,0.37,0.08
1,100,5,AL,100100,92318,0.63,0.129
1,200,5,AL,100200,185122.036,1,0.26
1,300,5,AL,100300,264597.964,1,0.371
1,400,4,AL,100400,71095.908,0.578,0.104
1,400,5,AL,100400,51942.092,0.422,0.073
1,500,4,AL,100500,201433,1,0.295
1,600,4,AL,100600,33244,0.218,0.049
1,600,5,AL,100600,119012,0.782,0.167
1,700,4,AL,100700,92090,0.734,0.135
1,700,7,AL,100700,33364,0.266,0.049
1,800,3,AL,100800,88019,0.418,0.126
1,800,4,AL,100800,69891.601,0.332,0.103
1,800,6,AL,100800,52779.399,0.251,0.076
1,901,6,AL,100901,12713.337,0.142,0.018
1,901,7,AL,100901,77055.261,0.858,0.113
1,902,6,AL,100902,7.011,0,0
1,902,7,AL,100902,100987.544,1,0.149
1,903,6,AL,100903,158366.33,0.929,0.227
1,903,7,AL,100903,12063.297,0.071,0.018
1,904,6,AL,100904,129496.148,0.691,0.185
1,904,7,AL,100904,57937.68,0.309,0.085
1,905,6,AL,100905,57196.494,0.516,0.082
1,905,7,AL,100905,53697.898,0.484,0.079
1,1000,4,AL,101000,102564,1,0.15
1,1100,3,AL,101100,155143.887,0.989,0.222
1,1100,4,AL,101100,1755.979,0.011,0.003
1,1200,3,AL,101200,114607.134,1,0.164
1,1300,6,AL,101300,210622,1,0.302
1,1400,4,AL,101400,55512.945,0.269,0.081
1,1400,7,AL,101400,150589.055,0.731,0.222
1,1500,6,AL,101500,22643,0.196,0.032
1,1500,7,AL,101500,92628.087,0.804,0.136
1,1600,3,AL,101600,74540.641,0.578,0.107
1,1600,6,AL,101600,54522,0.422,0.078
1,1700,3,AL,101700,158919.51,1,0.227
1,1800,2,AL,101800,120688,0.61,0.177
1,1800,3,AL,101800,77235.849,0.39,0.11
1,1900,2,AL,101900,132876.652,0.658,0.195
1,1900,3,AL,101900,19506.26,0.097,0.028
1,1900,7,AL,101900,49574.875,0.245,0.073
1,2000,2,AL,102000,148411.905,0.918,0.217
1,2000,3,AL,102000,11929.155,0.074,0.017
1,2000,7,AL,102000,1265.154,0.008,0.002
1,2100,1,AL,102100,84129.559,0.572,0.119
1,2100,2,AL,102100,12395,0.084,0.018
1,2100,7,AL,102100,50614.354,0.344,0.074
1,2200,1,AL,102200,191219.998,1,0.27
