stateFIPS,CongressionalDistrict,StateLower,StateAbbreviation,Population2016,FracCDFromSLD,FracSLDFromCD
1,1,64,AL,50970.972,0.072,0.021
1,1,65,AL,21602.542,0.031,0.009
1,1,66,AL,47277.013,0.067,0.02
1,1,68,AL,18543.248,0.026,0.008
1,1,92,AL,4888.424,0.007,0.003
1,1,94,AL,52597.033,0.074,0.03
1,1,95,AL,52603.899,0.074,0.03
1,1,96,AL,51577.179,0.073,0.03
1,1,97,AL,45272.241,0.064,0.026
1,1,98,AL,45270.232,0.064,0.026
1,1,99,AL,45270.232,0.064,0.026
1,1,100,AL,45270.232,0.064,0.031
1,1,101,AL,45290.321,0.064,0.037
1,1,102,AL,45272.241,0.064,0.038
1,1,103,AL,45276.259,0.064,0.037
1,1,104,AL,45273.245,0.064,0.038
1,1,105,AL,45273.245,0.064,0.037
1,2,31,AL,47276.526,0.069,0.015
1,2,42,AL,16182.76,0.024,0.006
1,2,68,AL,7764.21,0.011,0.003
1,2,69,AL,16664.37,0.024,0.007
1,2,74,AL,41005.976,0.06,0.018
1,2,75,AL,24397.601,0.036,0.011
1,2,76,AL,21562.875,0.032,0.01
1,2,77,AL,36571.03,0.054,0.016
1,2,78,AL,27243.237,0.04,0.012
1,2,84,AL,36327,0.053,0.021
1,2,85,AL,45781.014,0.067,0.026
1,2,86,AL,47100.693,0.069,0.027
1,2,87,AL,46258.673,0.068,0.027
1,2,88,AL,46920.306,0.069,0.027
1,2,89,AL,45804.339,0.067,0.026
1,2,90,AL,44576.812,0.065,0.026
1,2,91,AL,46223.189,0.068,0.027
1,2,92,AL,39889.666,0.058,0.023
1,2,93,AL,45401.282,0.066,0.026
1,3,29,AL,5182.878,0.007,0.002
1,3,30,AL,19472.149,0.028,0.006
1,3,32,AL,44135.516,0.063,0.014
1,3,33,AL,40143.444,0.057,0.012
1,3,35,AL,42056.331,0.06,0.014
1,3,36,AL,46084.326,0.066,0.015
1,3,37,AL,45501.599,0.065,0.015
1,3,38,AL,49607.914,0.071,0.017
1,3,39,AL,39109.032,0.056,0.013
1,3,40,AL,44397.602,0.063,0.014
1,3,50,AL,48394.498,0.069,0.019
1,3,74,AL,4040.202,0.006,0.002
1,3,75,AL,21783.931,0.031,0.01
1,3,78,AL,5611.282,0.008,0.003
1,3,79,AL,52116.154,0.074,0.024
1,3,80,AL,51320.762,0.073,0.023
1,3,81,AL,35478.564,0.051,0.021
1,3,82,AL,45799.531,0.065,0.027
1,3,83,AL,51317.922,0.073,0.03
1,3,84,AL,8347.798,0.012,0.005
1,4,3,AL,44035.619,0.065,0.013
1,4,7,AL,40747.257,0.06,0.012
1,4,9,AL,13225.806,0.019,0.004
1,4,11,AL,28875.37,0.042,0.009
1,4,12,AL,46227.495,0.068,0.014
1,4,13,AL,38727.4,0.057,0.011
1,4,14,AL,38553.369,0.057,0.011
1,4,16,AL,28671.252,0.042,0.008
1,4,17,AL,43780.007,0.064,0.013
1,4,18,AL,39329.803,0.058,0.011
1,4,23,AL,1773.258,0.003,0.001
1,4,24,AL,45836.881,0.067,0.013
1,4,26,AL,46597.332,0.068,0.014
1,4,27,AL,45895.894,0.067,0.014
1,4,28,AL,45067.071,0.066,0.013
1,4,29,AL,39953.774,0.059,0.012
1,4,30,AL,26245.502,0.038,0.008
1,4,34,AL,11936.619,0.018,0.004
1,4,39,AL,6333.486,0.009,0.002
1,4,61,AL,26934.843,0.04,0.011
1,4,62,AL,2800.529,0.004,0.001
1,4,63,AL,20254.866,0.03,0.008
1,5,1,AL,45774.13,0.064,0.014
1,5,2,AL,46107.736,0.065,0.014
1,5,3,AL,1635.075,0.002,0.001
1,5,4,AL,46184.599,0.065,0.014
1,5,5,AL,50871.741,0.071,0.015
1,5,6,AL,49531.514,0.069,0.015
1,5,7,AL,3213.095,0.005,0.001
1,5,8,AL,44915.601,0.063,0.013
1,5,9,AL,32056.249,0.045,0.01
1,5,10,AL,48091.94,0.067,0.014
1,5,11,AL,4300.727,0.006,0.001
1,5,18,AL,6113.109,0.009,0.002
1,5,19,AL,48046.094,0.067,0.014
1,5,20,AL,48839.328,0.068,0.014
1,5,21,AL,48644.218,0.068,0.014
1,5,22,AL,48146.242,0.068,0.014
1,5,23,AL,43285.893,0.061,0.013
1,5,25,AL,49143.927,0.069,0.014
1,5,53,AL,48090.874,0.067,0.02
1,6,11,AL,12878.254,0.018,0.004
1,6,13,AL,5151.1,0.007,0.002
1,6,14,AL,5346.553,0.008,0.002
1,6,15,AL,35209.804,0.05,0.01
1,6,16,AL,12583.129,0.018,0.004
1,6,27,AL,852.644,0.001,0
1,6,33,AL,4267.612,0.006,0.001
1,6,34,AL,33897.401,0.049,0.011
1,6,35,AL,2390.56,0.003,0.001
1,6,41,AL,48683.226,0.07,0.017
1,6,42,AL,30235.049,0.043,0.011
1,6,43,AL,48792.064,0.07,0.017
