stateFIPS,CongressionalDistrict,StateUpper,StateAbbreviation,Population2016,FracCDFromSLD,FracSLDFromCD
1,1,22,AL,127859.041,0.181,0.016
1,1,23,AL,13323.135,0.019,0.002
1,1,32,AL,157817.419,0.223,0.025
1,1,33,AL,136822.192,0.193,0.022
1,1,34,AL,135870.964,0.192,0.024
1,1,35,AL,135835.808,0.192,0.026
1,2,22,AL,3710.629,0.005,0
1,2,23,AL,28682.371,0.042,0.004
1,2,25,AL,108636.019,0.159,0.014
1,2,26,AL,78927.03,0.116,0.01
1,2,28,AL,77430.223,0.113,0.01
1,2,29,AL,139004.758,0.204,0.018
1,2,30,AL,107638.508,0.158,0.014
1,2,31,AL,138922.019,0.203,0.019
1,3,10,AL,24419.973,0.035,0.003
1,3,11,AL,113889.23,0.163,0.014
1,3,12,AL,130826.544,0.187,0.016
1,3,13,AL,143810.171,0.205,0.017
1,3,15,AL,23240.198,0.033,0.003
1,3,17,AL,14233.861,0.02,0.002
1,3,25,AL,25824.133,0.037,0.003
1,3,26,AL,5611.282,0.008,0.001
1,3,27,AL,150319.155,0.215,0.02
1,3,28,AL,60293.155,0.086,0.008
1,3,30,AL,7433.734,0.011,0.001
1,4,4,AL,135664.693,0.199,0.017
1,4,5,AL,114911.153,0.169,0.014
1,4,6,AL,108019.401,0.158,0.013
1,4,8,AL,51466.771,0.075,0.006
1,4,9,AL,112934.712,0.166,0.014
1,4,10,AL,111096.005,0.163,0.014
1,4,21,AL,47710.698,0.07,0.006
1,5,1,AL,143720.569,0.202,0.018
1,5,2,AL,148359.85,0.208,0.018
1,5,3,AL,138898.718,0.195,0.017
1,5,6,AL,26982.718,0.038,0.003
1,5,7,AL,147030.815,0.206,0.018
1,5,8,AL,87421.186,0.123,0.011
1,5,9,AL,20578.237,0.029,0.003
1,6,5,AL,18655.843,0.027,0.002
1,6,9,AL,7870.1,0.011,0.001
1,6,11,AL,26809.675,0.038,0.003
1,6,14,AL,137529.991,0.197,0.017
1,6,15,AL,117967.957,0.169,0.014
1,6,16,AL,140688.993,0.201,0.017
1,6,17,AL,121214.36,0.174,0.015
1,6,18,AL,22386.811,0.032,0.003
1,6,19,AL,38870.179,0.056,0.005
1,6,20,AL,44656.434,0.064,0.006
1,6,30,AL,21695.376,0.031,0.003
1,7,14,AL,3783.572,0.006,0
1,7,17,AL,476.763,0.001,0
1,7,18,AL,113087.901,0.166,0.014
1,7,19,AL,96564.469,0.142,0.012
1,7,20,AL,90767.195,0.134,0.011
1,7,21,AL,93998.22,0.138,0.012
1,7,22,AL,8644.583,0.013,0.001
1,7,23,AL,83642.568,0.123,0.011
1,7,24,AL,137971.905,0.203,0.018
1,7,25,AL,720.407,0.001,0
1,7,26,AL,50119.621,0.074,0.007
2,0,00A,AK,36563.017,0.049,1
2,0,00B,AK,36557.862,0.049,1
2,0,00C,AK,36453.392,0.049,1
2,0,00D,AK,41669.774,0.056,1
2,0,00E,AK,39775.33,0.054,1
2,0,00F,AK,40330.806,0.054,1
2,0,00G,AK,36270.323,0.049,1
2,0,00H,AK,36251.93,0.049,1
2,0,00I,AK,36501.253,0.049,1
2,0,00J,AK,36182.447,0.049,1
2,0,00K,AK,36169.163,0.049,1
2,0,00L,AK,36285.65,0.049,1
2,0,00M,AK,36393.962,0.049,1
2,0,00N,AK,36229.45,0.049,1
2,0,00O,AK,38067.974,0.051,1
2,0,00P,AK,37140.842,0.05,1
2,0,00Q,AK,36585.514,0.049,1
2,0,00R,AK,36027.486,0.049,1
2,0,00S,AK,36176.195,0.049,1
2,0,00T,AK,36260.89,0.049,1
4,1,1,AZ,69.475,0,0
4,1,6,AZ,161957.49,0.216,0.02
4,1,7,AZ,208460.741,0.278,0.026
4,1,8,AZ,131151.845,0.175,0.016
4,1,9,AZ,1112.343,0.001,0
4,1,11,AZ,202275.54,0.269,0.025
4,1,14,AZ,42383.327,0.056,0.005
4,1,27,AZ,3328.044,0.004,0
4,2,2,AZ,74830.748,0.103,0.009
4,2,3,AZ,33766.307,0.047,0.004
4,2,9,AZ,219929.875,0.303,0.027
4,2,10,AZ,218812.348,0.301,0.027
4,2,11,AZ,5613.55,0.008,0.001
4,2,14,AZ,172907.234,0.238,0.021
4,3,2,AZ,134113.072,0.178,0.017
4,3,3,AZ,178349.174,0.237,0.022
4,3,4,AZ,191711.291,0.255,0.024
4,3,11,AZ,20787.24,0.028,0.003
4,3,13,AZ,58472.982,0.078,0.007
4,3,19,AZ,138060.467,0.184,0.017
4,3,29,AZ,30318.102,0.04,0.004
4,4,1,AZ,158592.613,0.21,0.02
4,4,5,AZ,223889.648,0.296,0.027
4,4,6,AZ,61895.477,0.082,0.008
4,4,8,AZ,98825.874,0.131,0.012
4,4,12,AZ,2577.379,0.003,0
4,4,13,AZ,107369.674,0.142,0.013
4,4,16,AZ,96353.194,0.128,0.012
4,4,22,AZ,4585.231,0.006,0.001
4,4,23,AZ,1247.183,0.002,0
4,5,12,AZ,243899.822,0.309,0.03
4,5,16,AZ,148561.48,0.188,0.018
4,5,17,AZ,167379.267,0.212,0.02
4,5,25,AZ,212992.588,0.27,0.027
4,5,26,AZ,16631.327,0.021,0.002
4,6,1,AZ,17194.894,0.022,0.002
4,6,15,AZ,192414.072,0.244,0.023
4,6,20,AZ,159254.794,0.202,0.02
4,6,23,AZ,232280.57,0.294,0.03
4,6,24,AZ,8556.874,0.011,0.001
4,6,26,AZ,6995.117,0.009,0.001
4,6,28,AZ,140893.862,0.179,0.018
4,6,30,AZ,31659.768,0.04,0.004
4,7,18,AZ,4.446,0,0
4,7,19,AZ,92125.902,0.117,0.011
4,7,24,AZ,119769.565,0.152,0.016
4,7,26,AZ,9079.313,0.012,0.001
4,7,27,AZ,216230.594,0.274,0.028
4,7,29,AZ,189189.404,0.24,0.025
4,7,30,AZ,163065.259,0.207,0.022
4,8,1,AZ,58409.727,0.074,0.007
4,8,4,AZ,26034.107,0.033,0.003
4,8,13,AZ,64287.715,0.081,0.008
4,8,15,AZ,46508.135,0.059,0.006
4,8,20,AZ,83253.342,0.105,0.01
4,8,21,AZ,240368.361,0.304,0.03
4,8,22,AZ,235416.312,0.298,0.03
4,8,29,AZ,15108.475,0.019,0.002
4,8,30,AZ,20293.954,0.026,0.003
4,9,17,AZ,78473.586,0.099,0.01
4,9,18,AZ,243070.59,0.308,0.03
4,9,23,AZ,3709.313,0.005,0
4,9,24,AZ,101389.736,0.128,0.013
4,9,25,AZ,32436.757,0.041,0.004
4,9,26,AZ,204791.416,0.259,0.027
4,9,27,AZ,7418.626,0.009,0.001
4,9,28,AZ,102250.092,0.13,0.013
4,9,30,AZ,15924.368,0.02,0.002
5,1,17,AR,35209.283,0.049,0.004
5,1,18,AR,57722.256,0.08,0.007
5,1,19,AR,83687.016,0.116,0.01
5,1,20,AR,86713.117,0.12,0.011
5,1,21,AR,92229.634,0.128,0.011
5,1,22,AR,77010.996,0.107,0.01
5,1,23,AR,62020.211,0.086,0.008
5,1,24,AR,81689.709,0.113,0.011
5,1,25,AR,20885.305,0.029,0.003
5,1,26,AR,25168.518,0.035,0.003
5,1,28,AR,44902.032,0.062,0.006
5,1,29,AR,54759.551,0.076,0.007
5,2,13,AR,23416.355,0.031,0.003
5,2,14,AR,13735.541,0.018,0.002
5,2,15,AR,83509.662,0.11,0.01
5,2,16,AR,5110.983,0.007,0.001
5,2,18,AR,22230.981,0.029,0.003
5,2,23,AR,16187.644,0.021,0.002
5,2,28,AR,40392.497,0.053,0.005
5,2,29,AR,32062.415,0.042,0.004
5,2,30,AR,82985.174,0.109,0.011
5,2,31,AR,85808.574,0.113,0.012
5,2,32,AR,84729.764,0.111,0.013
5,2,33,AR,94610.874,0.124,0.015
5,2,34,AR,88397.719,0.116,0.016
5,2,35,AR,87961.817,0.116,0.017
5,3,1,AR,96026.839,0.121,0.012
5,3,2,AR,97172.129,0.122,0.012
