StateFIPS,CongressionalDistrict,StateUpper,StateLower,StateAbbreviation,Population2016,CDInSLD,SLDInCD
1,1,22,64,AL,39294.879,0.056,0.265
1,1,22,65,AL,21219.321,0.03,0.141
1,1,22,66,AL,45956.508,0.065,0.335
1,1,22,68,AL,5629.467,0.008,0.068
1,1,22,92,AL,4888.424,0.007,0.101
1,1,22,96,AL,4563.406,0.006,0.122
1,1,22,98,AL,2129.466,0.003,1
1,1,22,102,AL,4177.57,0.006,1
1,1,23,64,AL,26.133,0,0.001
1,1,23,65,AL,383.221,0.001,0.002
1,1,23,68,AL,12913.78,0.018,0.062
1,1,32,64,AL,11649.96,0.016,0.04
1,1,32,66,AL,1320.504,0.002,0.047
1,1,32,94,AL,52597.033,0.074,0.238
1,1,32,95,AL,52603.899,0.074,0.214
1,1,32,96,AL,39646.022,0.056,0.404
1,1,33,96,AL,275.223,0,0.003
1,1,33,97,AL,42467.775,0.06,0.224
1,1,33,98,AL,25627.919,0.036,0.23
1,1,33,99,AL,39046.567,0.055,0.177
1,1,33,101,AL,3100.783,0.004,1
1,1,33,102,AL,602.679,0.001,0.014
1,1,33,103,AL,25701.245,0.036,0.983
1,1,34,96,AL,7092.527,0.01,0.171
1,1,34,97,AL,2735.158,0.004,1
1,1,34,98,AL,17512.847,0.025,0.234
1,1,34,99,AL,6223.665,0.009,0.058
1,1,34,100,AL,29784.396,0.042,0.161
1,1,34,101,AL,32030.379,0.045,0.25
1,1,34,102,AL,40491.992,0.057,0.644
1,1,35,97,AL,69.308,0,0.002
1,1,35,100,AL,15485.837,0.022,0.574
1,1,35,101,AL,10159.159,0.014,0.056
1,1,35,103,AL,19575.013,0.028,0.127
1,1,35,104,AL,45273.245,0.064,0.601
1,1,35,105,AL,45273.245,0.064,0.711
1,2,22,68,AL,748.685,0.001,0.009
1,2,22,90,AL,2961.944,0.004,0.066
1,2,23,68,AL,7015.525,0.01,0.033
1,2,23,90,AL,21666.846,0.032,1
1,2,25,31,AL,25345.385,0.037,0.405
1,2,25,69,AL,2400.042,0.004,0.036
1,2,25,74,AL,38581.263,0.056,0.33
1,2,25,75,AL,8003.87,0.012,0.057
1,2,25,76,AL,9195.555,0.013,0.122
1,2,25,77,AL,7733.029,0.011,0.691
1,2,25,90,AL,17376.876,0.025,0.456
1,2,26,69,AL,6833.014,0.01,0.233
1,2,26,74,AL,2424.713,0.004,0.096
1,2,26,75,AL,1220.745,0.002,0.016
1,2,26,76,AL,12367.32,0.018,0.125
1,2,26,77,AL,28838.001,0.042,0.288
1,2,26,78,AL,27243.237,0.04,0.253
1,2,28,84,AL,36327,0.053,0.127
1,2,28,85,AL,40613.413,0.059,1
1,2,28,86,AL,489.81,0.001,0.037
1,2,29,85,AL,5167.601,0.008,0.06
1,2,29,86,AL,46610.882,0.068,0.141
1,2,29,87,AL,46258.673,0.068,0.32
1,2,29,89,AL,3085.748,0.005,0.034
1,2,29,93,AL,37881.854,0.055,0.908
1,2,30,31,AL,21931.142,0.032,1
