stateFIPS,PUMA,StateUpper,StateLower,StateAbbreviation,PUMAname,Population2016,PUMAInSLD,SLDinPUMA
1,100,1,1,AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",23433.75,0.126,0.011
1,100,1,2,AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",38795.686,0.209,0.048
1,100,1,18,AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",3105.846,0.017,1
1,100,4,17,AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",7109.612,0.038,0.486
1,100,6,1,AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",22340.38,0.12,0.993
1,100,6,3,AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",41461.343,0.223,0.908
1,100,6,7,AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",6687.929,0.036,0.016
1,100,6,17,AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",545.844,0.003,0.002
1,100,6,18,AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",42337.066,0.228,0.152
1,200,1,2,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),7312.049,0.039,0.009
1,200,1,4,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),4727.174,0.025,0.03
1,200,1,5,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),38992.742,0.208,0.076
1,200,1,6,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),16609.48,0.088,0.022
1,200,1,19,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),872.131,0.005,0.119
1,200,1,21,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),2728.341,0.015,1
1,200,2,5,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),7796.083,0.042,0.02
1,200,2,6,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),17509.414,0.093,0.051
1,200,2,10,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),2079.041,0.011,0.004
1,200,2,19,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),9788.549,0.052,0.277
1,200,2,25,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),8467.232,0.045,0.097
1,200,3,4,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),6931.097,0.037,0.012
1,200,3,5,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),4082.916,0.022,0.01
1,200,3,10,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),8871.639,0.047,0.027
1,200,7,19,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),3948.045,0.021,0.013
1,200,7,20,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),620.514,0.003,0.002
1,200,7,21,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),21452.5,0.114,0.09
1,200,7,22,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),10478.364,0.056,0.114
1,200,8,22,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),14416.814,0.077,0.075
1,301,1,19,AL,Huntsville (North) & Madison (East) Cities,6400.246,0.05,0.872
1,301,1,53,AL,Huntsville (North) & Madison (East) Cities,743.124,0.006,1
1,301,2,6,AL,Huntsville (North) & Madison (East) Cities,13835.748,0.109,0.04
1,301,2,10,AL,Huntsville (North) & Madison (East) Cities,21507.941,0.17,0.045
1,301,2,19,AL,Huntsville (North) & Madison (East) Cities,6088.923,0.048,0.172
1,301,2,25,AL,Huntsville (North) & Madison (East) Cities,40676.695,0.321,0.467
1,301,2,53,AL,Huntsville (North) & Madison (East) Cities,16307.141,0.129,0.896
1,301,7,19,AL,Huntsville (North) & Madison (East) Cities,15452.069,0.122,0.051
1,301,7,53,AL,Huntsville (North) & Madison (East) Cities,5781.865,0.046,0.113
1,302,2,6,AL,Huntsville City (Central & South),1576.872,0.015,0.005
1,302,2,10,AL,Huntsville City (Central & South),824.153,0.008,0.002
1,302,2,53,AL,Huntsville City (Central & South),1902.056,0.018,0.104
1,302,3,10,AL,Huntsville City (Central & South),1.066,0,0
1,302,7,10,AL,Huntsville City (Central & South),6078.262,0.056,0.1
1,302,7,19,AL,Huntsville City (Central & South),5496.13,0.051,0.018
1,302,7,20,AL,Huntsville City (Central & South),16268.759,0.15,0.059
1,302,7,21,AL,Huntsville City (Central & South),24463.377,0.226,0.103
1,302,7,22,AL,Huntsville City (Central & South),349.705,0.003,0.004
1,302,7,53,AL,Huntsville City (Central & South),23356.688,0.216,0.455
1,302,8,10,AL,Huntsville City (Central & South),6853.371,0.063,0.257
1,302,8,20,AL,Huntsville City (Central & South),9645.682,0.089,0.039
1,302,9,10,AL,Huntsville City (Central & South),527.756,0.005,0.024
1,302,9,20,AL,Huntsville City (Central & South),10896.305,0.101,0.039
1,400,8,22,AL,DeKalb & Jackson Counties,8656.199,0.07,0.045
1,400,8,23,AL,DeKalb & Jackson Counties,44934.519,0.365,0.062
1,400,8,24,AL,DeKalb & Jackson Counties,44776.009,0.364,0.249
1,400,8,29,AL,DeKalb & Jackson Counties,490.554,0.004,0.004
1,400,8,39,AL,DeKalb & Jackson Counties,4551.583,0.037,0.197
1,400,9,23,AL,DeKalb & Jackson Counties,124.633,0.001,0.001
1,400,9,24,AL,DeKalb & Jackson Counties,1051.899,0.009,0.012
1,400,9,26,AL,DeKalb & Jackson Counties,5161.784,0.042,0.034
1,400,9,27,AL,DeKalb & Jackson Counties,3492.704,0.028,0.017
1,400,9,29,AL,DeKalb & Jackson Counties,3022.091,0.025,0.014
1,400,10,24,AL,DeKalb & Jackson Counties,8.974,0,0
1,400,10,26,AL,DeKalb & Jackson Counties,1551.427,0.013,0.031
1,400,10,29,AL,DeKalb & Jackson Counties,5189.702,0.042,0.037
1,400,10,39,AL,DeKalb & Jackson Counties,25.924,0,0
1,500,7,20,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),11258.804,0.092,0.041
1,500,7,22,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),2025.732,0.017,0.022
1,500,8,10,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),93.823,0.001,0.004
1,500,8,20,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),147.132,0.001,0.001
1,500,8,22,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),4322.272,0.035,0.023
1,500,9,9,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),1305.328,0.011,0.002
1,500,9,10,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),1254.888,0.01,0.057
1,500,9,11,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),4114.444,0.034,0.315
1,500,9,20,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),2.132,0,0
1,500,9,22,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),7897.156,0.065,0.024
1,500,9,26,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),39884.122,0.326,0.264
1,500,9,27,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),40729.107,0.333,0.194
1,500,9,34,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),9123.999,0.075,0.67
1,600,3,4,AL,Morgan & Lawrence Counties--Decatur City,34526.328,0.227,0.058
1,600,3,7,AL,Morgan & Lawrence Counties--Decatur City,3213.095,0.021,0.009
1,600,3,8,AL,Morgan & Lawrence Counties--Decatur City,44915.601,0.295,0.096
1,600,3,9,AL,Morgan & Lawrence Counties--Decatur City,32056.249,0.211,0.069
1,600,3,11,AL,Morgan & Lawrence Counties--Decatur City,4300.727,0.028,0.011
1,600,4,7,AL,Morgan & Lawrence Counties--Decatur City,29034.649,0.191,0.045
1,600,6,3,AL,Morgan & Lawrence Counties--Decatur City,4209.351,0.028,0.092
1,700,4,7,AL,Cullman & Winston Counties,5024.679,0.047,0.008
1,700,4,9,AL,Cullman & Winston Counties,11920.478,0.112,0.064
1,700,4,11,AL,Cullman & Winston Counties,24323.027,0.229,0.065
1,700,4,12,AL,Cullman & Winston Counties,46227.495,0.435,0.128
1,700,4,14,AL,Cullman & Winston Counties,4495.765,0.042,0.052
1,700,4,17,AL,Cullman & Winston Counties,2606.649,0.025,0.178
1,700,5,14,AL,Cullman & Winston Counties,7818.004,0.074,0.028
1,700,5,17,AL,Cullman & Winston Counties,3859.902,0.036,0.054
1,800,9,11,AL,St. Clair & Blount Counties,5783.285,0.04,0.442
1,800,9,27,AL,St. Clair & Blount Counties,2526.727,0.017,0.012
1,800,9,34,AL,St. Clair & Blount Counties,4484.689,0.031,0.33
