StateName,StateFIPS,StateAbbreviation,CensusRegion,CensusDivision
Alabama,01,AL,South,EastSouthCentral
Alaska,02,AK,West,Pacific
Arizona,04,AZ,West,Mountain
Arkansas,05,AR,South,WestSouthCentral
California,06,CA,West,Pacific
Colorado,08,CO,West,Mountain
Connecticut,09,CT,Northeast,NewEngland
Delaware,10,DE,South,SouthAtlantic
District of Columbia,11,DC,South,SouthAtlantic
Florida,12,FL,South,SouthAtlantic
Georgia,13,GA,South,SouthAtlantic
Hawaii,15,HI,West,Pacific
Idaho,16,ID,West,Mountain
Illinois,17,IL,Midwest,EastNorthCentral
Indiana,18,IN,Midwest,EastNorthCentral
Iowa,19,IA,Midwest,WestNorthCentral
Kansas,20,KS,Midwest,WestNorthCentral
Kentucky,21,KY,South,EastSouthCentral
Louisiana,22,LA,South,WestSouthCentral
Maine,23,ME,Northeast,NewEngland
Maryland,24,MD,South,SouthAtlantic
Massachusetts,25,MA,Northeast,NewEngland
Michigan,26,MI,Midwest,EastNorthCentral
Minnesota,27,MN,Midwest,WestNorthCentral
Mississippi,28,MS,South,EastSouthCentral
Missouri,29,MO,Midwest,WestNorthCentral
Montana,30,MT,West,Mountain
Nebraska,31,NE,Midwest,WestNorthCentral
Nevada,32,NV,West,Mountain
New Hampshire,33,NH,Northeast,NewEngland
New Jersey,34,NJ,Northeast,MiddleAtlantic
New Mexico,35,NM,West,Mountain
New York,36,NY,Northeast,MiddleAtlantic
North Carolina,37,NC,South',SouthAtlantic
North Dakota,38,ND,Midwest,WestNorthCentral
Ohio,39,OH,Midwest,EastNorthCentral
Oklahoma,40,OK,South,WestSouthCentral
Oregon,41,OR,West,Pacific
Pennsylvania,42,PA,Northeast,MiddleAtlantic
Rhode Island,44,RI,Northeast,NewEngland
South Carolina,45,SC,South,SouthAtlantic
South Dakota,46,SD,Midwest,WestNorthCentral
Tennessee,47,TN,South,EastSouthCentral
Texas,48,TX,South,WestSouthCentral
Utah,49,UT,West,Mountain
Vermont,50,VT,Northeast,NewEngland
Virginia,51,VA,South,SouthAtlantic
Washington,53,WA,West,Pacific
West Virginia,54,WV,South,SouthAtlantic
Wisconsin,55,WI,Midwest,EastNorthCentral
Wyoming,56,WY,West,Mountain
American Samoa,60,AS,Territory,Territory
Guam,66,GU,Territory,Territory
Northern Mariana Islands,69,MP,Territory,Territory
Puerto Rico,72,PR,Territory,Territory
Virgin Islands,78,VI,Territory,Territory
