state,StateAbbreviation,StateFIPS,election,year,wave,OVERALLINTEGRITY,PEIIndexp,PEIIndexi,ratingstate,ratingcountry,LAWS,lawsunfair,lawsunfair2,favoredincumbent,favoredincumbent2,citizens,citizens2,laws,lawsi,PROCEDURES,managed,votinginfo,fairofficials,legalelections,procedures,proceduresi,BOUNDARIES,bdiscrim,bdiscrim2,bfavored,bfavored2,bimpartial,boundaries,boundariesi,VOTERREGISTRATION,reglisted,reglisted2,reginaccurate,reginaccurate2,ineligible,ineligible2,votereg,voteregi,PARTYREGISTRATION,oppprevent,oppprevent2,womenopp,minorityopp,leaderselect,leaderselect2,rallies,rallies2,partyreg,partyregi,MEDIACOVERAGE,newspapers,tv,tv2,fairaccess,faircoverage,socialmedia,media,mediai,CAMPAIGNFINANCE,subsidies,donations,accounts,rich,rich2,resources,resources2,finance,financei,VOTINGPROCESS,violence,violence2,fraudulent,fraudulent2,easy,choice,postal,disabled,expats,internet,voting,votingi,VOTECOUNT,secure,delay,faircount,intlmonitors,intlmonitors2,domesticmonitors,domesticmonitors2,count,counti,VOTINGRESULTS,challenged,challenged2,protestspeace,protestspeace2,protestsviolent,protestsviolent2,disputes,results,resultsi,ELECTIONAUTHORITIES,impartial,info,scrutiny,performance,EMBs,EMBsi,GENERALQUESTIONS,familiarity,important,ORGCONFIDENCE,courts,government,parliament,police,electoralauth,BACKGROUND,employment,public,university,nonprofit,agency,private,occupation,agegroup,sex,education,born,lived,rep,candidate,activist,official,monitor,monitorint,ngo,voted,norole,citizen,supported,leftrightscale,partyid,difficulty,VIGNETTES,vignetteA,vignetteB,vignetteC,EXTRA,rigged,rigged2,machinesaccurate,recordssecure,waited,waited2,multiple,multiple2,regrestrictive,regrestrictive2,obsintimidate,obsintimidate2,popularwill,timely,disinformation,disinformation2,hack,hack2,meddle,meddle2,countdispute,countdispute2,illegalvote,illegalvote2,legalcount,votersuppress,votersuppress2,design,candidatethreat,candidatethreat2,sufficient,audit,SUBFIELD,elections,ampol,statepol,comparative,inter,polcomm,theory,publicadmin,publicpol,methods,socio
Alabama,AL,201,USA_06112018_L1,2018,2018,,,54.7959136962891,7,5,,4,2,4,2,4,2,25,25,,4,4,4,4,75,75,,5,1,5,1,1,0,0,,,,,,,,,53.3333358764648,,,,2,2,4,2,,,,49.5,,4,3,3,,4,,,60.75,,2,2,4,3,3,,,,47.5,,,,,,4,2,3,3,3,1,,50.78125,,4,4,4,2,4,2,4,75,75,,2,4,2,4,2,4,,,76.25,,4,3,4,4,68.75,68.75,,8,2,,5,3,3,3,6,,1,0,1,0,0,0,6,1,1,5,0,4,0,0,0,0,0,0,0,0,0,1,1,3,7,,,8,8,9,,4,2,5,4,4,2,1,5,4,2,1,5,2,4,4,2,2,4,2,4,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0
Alabama,AL,201,USA_06112018_L1,2018,2018,,,69.4132690429688,9,8,,3,3,3,3,3,3,50,50,,4,4,4,4,75,75,,,,,,,,27.0833339691162,,4,2,1,5,2,4,66.6666641235352,66.6666641235352,,,,4,4,3,3,1,5,,74.25,,2,2,4,3,2,,,45.75,,3,3,4,2,4,2,4,65,65,,1,5,2,4,4,3,4,3,4,2,65.625,65.625,,5,5,5,1,5,1,5,100,100,,,,1,5,1,5,5,,86.25,,4,5,5,5,93.75,93.75,,10,2,,6,7,6,7,8,,1,0,1,0,0,0,6,3,2,5,0,4,0,0,0,0,0,0,0,1,0,1,6,4,4,9,,1,1,9,,1,5,5,5,2,4,1,5,2,4,2,4,4,5,2,4,1,5,1,5,1,5,1,5,5,2,4,5,1,5,5,1,,1,1,0,0,0,0,0,0,1,1,0
Alabama,AL,201,USA_06112018_L1,2018,2018,,,54.7704124450684,7,7,,4,2,4,2,4,2,25,25,,4,5,4,4,81.25,81.25,,5,1,5,1,1,0,0,,5,1,4,2,,,,32.5,,2,4,3,2,2,4,1,5,65,65,,2,3,3,2,4,,,45,,1,4,2,3,3,2,4,45,45,,,,,,4,2,1,,5,1,,52.96875,,4,4,4,,,2,4,,75.5,,,,2,4,1,5,4,,77.5,,3,5,4,4,75,75,,8,3,,3,2,2,5,6,,2,0,1,1,0,1,6,3,1,5,1,5,0,0,0,0,0,0,0,1,0,1,1,3,5,9,,8,9,9,,2,4,4,4,4,2,2,4,3,3,2,4,4,5,5,1,2,4,,,2,4,1,5,4,1,5,5,,,5,4,,1,0,0,0,0,0,0,1,0,0,0
Alabama,AL,201,USA_06112018_L1,2018,2018,,80.1020431518555,80.1020431518555,10,10,,2,4,5,1,1,5,58.3333320617676,58.3333320617676,,4,4,5,5,87.5,87.5,,2,4,4,2,3,50,50,,1,5,1,5,1,5,100,100,,2,4,5,5,4,2,1,5,80,80,,4,3,3,4,4,3,65,65,,4,4,4,1,5,2,4,80,80,,1,5,1,5,5,4,2,3,5,1,68.75,68.75,,5,5,5,1,5,1,5,100,100,,2,4,1,5,1,5,5,93.75,93.75,,5,5,5,5,100,100,,9,3,,7,7,7,7,7,,1,0,1,0,0,0,6,2,1,5,0,2,0,0,0,0,0,0,0,1,0,1,2,7,2,10,,1,1,6,,1,5,5,5,2,4,1,5,4,2,1,5,5,5,1,5,1,5,1,5,1,5,1,5,5,1,5,5,1,5,5,4,,1,1,0,0,0,0,0,0,0,1,0
Alabama,AL,201,USA_06112018_L1,2018,2018,,,54.6683654785156,6,4,,5,1,2,4,4,2,33.3333320617676,33.3333320617676,,2,4,4,3,56.25,56.25,,4,2,4,2,2,25,25,,,,,,2,4,,51.6666679382324,,2,4,4,2,3,3,2,4,60,60,,2,4,2,4,3,,,44.5,,,2,4,4,2,4,2,,40.75,,2,4,,,3,2,4,2,,2,,53.90625,,,4,4,,,,,,74.75,,2,4,2,4,1,5,4,81.25,81.25,,4,3,,4,,66.875,,4,4,,5,3,2,4,4,,1,0,1,0,0,0,6,4,1,5,0,4,0,0,0,0,0,0,0,1,0,1,1,2,5,9,,7,6,8,,3,3,,,5,1,2,4,4,2,4,2,3,4,5,1,5,1,,,2,4,2,4,,2,4,2,2,4,4,,,0,1,0,0,0,0,0,0,0,0,0
Alabama,AL,201,USA_06112018_L1,2018,2018,,,53.4693908691406,7,5,,3,3,4,2,4,2,33.3333320617676,33.3333320617676,,4,2,4,4,62.5,62.5,,5,1,5,1,5,33.3333320617676,33.3333320617676,,,,,,,,,53.75,,,,4,3,,,,,,71.75,,2,4,2,,3,,,43.5,,,2,2,5,1,4,2,,23.25,,,,,,3,2,,,,1,,58.4375,,,3,,,,,,,71.25,,,,1,5,1,5,,,85.625,,2,3,2,3,37.5,37.5,,6,5,,2,3,0,5,4,,1,1,1,0,0,0,6,3,1,5,0,3,0,0,0,0,0,0,0,1,0,1,1,2,5,9,,6,7,8,,4,2,,,,,,,2,4,,,,3,5,1,,,,,,,,,,4,2,4,,,,,,0,1,0,1,0,0,0,0,0,1,0
Alabama,AL,201,USA_06112018_L1,2018,2018,,,64.872444152832,8,8,,4,2,5,1,1,5,41.6666679382324,41.6666679382324,,4,4,5,5,87.5,87.5,,2,4,5,1,1,25,25,,,,,,4,2,,46.6666641235352,,2,4,5,5,2,4,1,5,90,90,,1,4,2,4,1,4,35,35,,4,5,3,3,3,,,,68.75,,1,5,4,2,5,4,4,,,1,,65.3125,,,5,4,,,,,,80.5,,1,5,,,,,4,,86.25,,4,4,3,3,62.5,62.5,,8,1,,8,3,,8,1,,1,1,1,1,0,0,6,4,1,5,0,2,0,0,0,0,0,0,0,1,0,1,2,8,3,10,,2,2,9,,1,5,5,2,3,3,,,1,5,,,5,5,,,,,,,2,4,1,5,4,2,4,2,1,5,,3,,0,1,0,1,0,0,0,1,1,0,0
Alabama,AL,201,USA_06112018_L1,2018,2018,,,50.688777923584,4,2,,5,1,5,1,4,2,8.33333301544189,8.33333301544189,,4,4,5,5,87.5,87.5,,5,1,5,1,1,0,0,,4,2,4,2,,,,44.1666679382324,,1,5,3,3,1,5,,,,76.25,,2,4,2,2,2,,,30.75,,,,,4,2,,,,43,,,,,,4,4,1,,1,1,,46.875,,4,5,5,,,,,,85.25,,2,4,1,5,1,5,5,93.75,93.75,,1,3,1,1,12.5,12.5,,8,1,,3,3,2,5,3,,1,0,1,0,0,0,6,2,2,5,0,4,0,0,0,0,0,0,0,1,0,1,1,3,7,8,,7,2,9,,4,2,3,1,5,1,1,5,5,1,,,2,5,4,2,4,2,,,1,5,1,5,4,5,1,5,,,2,1,,0,1,0,0,0,0,0,0,0,0,0
Alabama,AL,201,USA_06112018_L1,2018,2018,,,63.4438819885254,8,7,,4,2,4,2,4,2,25,25,,4,4,4,4,75,75,,5,1,4,2,1,8.33333301544189,8.33333301544189,,,,,,,,,47.9166679382324,,,,4,4,3,3,2,4,,70.5,,2,4,2,2,2,3,30,30,,2,2,2,2,4,2,4,45,45,,1,5,1,5,4,4,,5,5,,,79.6875,,5,5,4,1,5,1,5,95,95,,2,4,1,5,1,5,5,93.75,93.75,,4,4,5,5,87.5,87.5,,9,1,,4,4,1,7,7,,1,0,1,0,0,0,6,4,1,5,0,3,0,0,0,0,0,0,0,1,0,1,1,3,7,7,,5,0,7,,2,4,4,4,2,4,1,5,5,1,1,5,2,5,4,2,3,3,3,3,1,5,1,5,5,1,5,5,1,5,5,4,,1,1,1,0,0,0,0,1,0,1,0
Alabama,AL,201,USA_06112018_L1,2018,2018,,,61.0204124450684,7,6,,4,2,5,1,4,2,16.6666660308838,16.6666660308838,,4,4,4,4,75,75,,5,1,4,2,2,16.6666660308838,16.6666660308838,,4,2,3,3,2,4,50,50,,,,4,4,2,4,2,4,,74.75,,4,2,4,4,4,,,69.75,,,2,3,2,4,4,2,,43,,2,4,2,4,4,4,2,4,4,1,59.375,59.375,,4,5,4,,,,,,80.5,,2,4,2,4,1,5,4,81.25,81.25,,4,4,4,4,75,75,,10,2,,7,2,5,5,4,,1,0,1,0,0,0,6,4,1,5,1,4,0,0,0,0,0,0,0,1,0,1,1,3,6,9,,7,8,9,,2,4,4,4,4,2,1,5,4,2,2,4,3,4,,,,,2,4,2,4,2,4,4,4,2,4,2,4,4,,,1,1,1,0,0,0,0,0,0,1,0
